公表日時,時間,結果（%）
2006-02-22,22:30,0.2
2006-01-18,22:30,0.1
2005-12-15,22:30,0.2
2005-11-16,22:30,0.3
2005-10-14,22:30,0.1
2005-09-15,21:30,0.1
2005-08-16,21:30,0.1
2005-07-14,21:30,0.0
2005-06-15,21:30,0.1
2005-05-18,21:30,0.0
2005-04-20,21:30,0.4
2005-03-23,21:30,0.2
2005-02-23,22:30,0.2
2005-01-01,18:00,0.2
2004-12-01,18:00,0.2
2004-11-01,18:00,0.2
2004-10-01,18:00,0.3
2004-09-01,18:00,0.1
2004-08-01,18:00,0.1
2004-07-01,18:00,0.2
2004-06-01,18:00,0.2
2004-05-01,18:00,0.2
2004-04-01,18:00,0.3
2004-03-01,18:00,0.2
2004-02-01,18:00,0.2
2004-01-01,18:00,0.1
2003-12-01,18:00,0.0
2003-11-01,18:00,0.2
2003-10-01,18:00,0.1
2003-09-01,18:00,0.1
2003-08-01,18:00,0.2
2003-07-01,18:00,0.1
2003-06-01,18:00,0.2
2003-05-01,18:00,0.0
2003-04-01,18:00,0.0
2003-03-01,18:00,0.1
2003-02-01,18:00,0.2
2003-01-01,18:00,0.1
2002-12-01,18:00,0.2
2002-11-01,18:00,0.1
2002-10-01,18:00,0.1
2002-09-01,18:00,0.3
2002-08-01,18:00,0.2
2002-07-01,18:00,0.1
2002-06-01,18:00,0.2
2002-05-01,18:00,0.3
2002-04-01,18:00,0.1
2002-03-01,18:00,0.2
2002-02-01,18:00,0.2
2002-01-01,18:00,0.2
2001-12-01,18:00,0.4
2001-11-01,18:00,0.2
2001-10-01,18:00,0.2
2001-09-01,18:00,0.2
2001-08-01,18:00,0.2
2001-07-01,18:00,0.4
2001-06-01,18:00,0.1
2001-05-01,18:00,0.2
2001-04-01,18:00,0.2
2001-03-01,18:00,0.3
2001-02-01,18:00,0.3
2001-01-01,18:00,0.1
2000-12-01,18:00,0.3
2000-11-01,18:00,0.2
2000-10-01,18:00,0.2
2000-09-01,18:00,0.2
2000-08-01,18:00,0.2
2000-07-01,18:00,0.2
2000-06-01,18:00,0.2
2000-05-01,18:00,0.2
2000-04-01,18:00,0.3
2000-03-01,18:00,0.1
2000-02-01,18:00,0.3
2000-01-01,18:00,0.2
1999-12-01,18:00,0.2
1999-11-01,18:00,0.2
1999-10-01,18:00,0.3
1999-09-01,18:00,0.1
1999-08-01,18:00,0.3
1999-07-01,18:00,0.1
1999-06-01,18:00,0.1
1999-05-01,18:00,0.3
1999-04-01,18:00,0.1
1999-03-01,18:00,0.0
1999-02-01,18:00,0.1
1999-01-01,18:00,0.3
1998-12-01,18:00,0.2
1998-11-01,18:00,0.1
1998-10-01,18:00,0.1
1998-09-01,18:00,0.3
1998-08-01,18:00,0.2
1998-07-01,18:00,0.2
1998-06-01,18:00,0.2
1998-05-01,18:00,0.2
1998-04-01,18:00,0.2
1998-03-01,18:00,0.2
1998-02-01,18:00,0.2
1998-01-01,18:00,0.2
1997-12-01,18:00,0.1
1997-11-01,18:00,0.2
1997-10-01,18:00,0.2
1997-09-01,18:00,0.1
1997-08-01,18:00,0.2
1997-07-01,18:00,0.1
1997-06-01,18:00,0.2
1997-05-01,18:00,0.3
1997-04-01,18:00,0.2
1997-03-01,18:00,0.2
1997-02-01,18:00,0.2
1997-01-01,18:00,0.1
1996-12-01,18:00,0.2
1996-11-01,18:00,0.2
1996-10-01,18:00,0.3
1996-09-01,18:00,0.2
1996-08-01,18:00,0.2
1996-07-01,18:00,0.2
1996-06-01,18:00,0.2
1996-05-01,18:00,0.1
1996-04-01,18:00,0.2
1996-03-01,18:00,0.2
1996-02-01,18:00,0.4
1996-01-01,18:00,0.1
1995-12-01,18:00,0.2
1995-11-01,18:00,0.3
1995-10-01,18:00,0.2
1995-09-01,18:00,0.2
1995-08-01,18:00,0.2
1995-07-01,18:00,0.2
1995-06-01,18:00,0.2
1995-05-01,18:00,0.3
1995-04-01,18:00,0.3
1995-03-01,18:00,0.3
1995-02-01,18:00,0.4
1995-01-01,18:00,0.1
1994-12-01,18:00,0.3
1994-11-01,18:00,0.2
1994-10-01,18:00,0.3
1994-09-01,18:00,0.3
1994-08-01,18:00,0.2
1994-07-01,18:00,0.3
1994-06-01,18:00,0.3
