公表日時,時間,結果
2020-01-23,22:30,211000
2020-01-16,22:30,204000
2020-01-09,22:30,214000
2020-01-02,22:30,222000
2019-12-26,22:30,222000
2019-12-19,22:30,234000
2019-12-12,22:30,252000
2019-12-05,22:30,203000
2019-11-27,22:30,213000
2019-11-21,22:30,227000
2019-11-14,22:30,225000
2019-11-07,22:30,211000
2019-10-31,21:30,218000
2019-10-24,21:30,212000
2019-10-17,21:30,214000
2019-10-10,21:30,210000
2019-10-03,21:30,219000
2019-09-26,21:30,213000
2019-09-19,21:30,208000
2019-09-12,21:30,204000
2019-09-05,21:30,217000
2019-08-29,21:30,215000
2019-08-22,21:30,209000
2019-08-15,21:30,220000
2019-08-08,21:30,209000
2019-08-01,21:30,215000
2019-07-25,21:30,206000
2019-07-18,21:30,216000
2019-07-11,21:30,209000
2019-07-03,21:30,221000
2019-06-27,21:30,227000
2019-06-20,21:30,216000
2019-06-13,21:30,222000
2019-06-06,21:30,218000
2019-05-30,21:30,215000
2019-05-23,21:30,211000
2019-05-16,21:30,212000
2019-05-09,21:30,228000
2019-05-02,21:30,230000
2019-04-25,21:30,230000
2019-04-18,21:30,192000
2019-04-11,21:30,196000
2019-04-04,21:30,202000
2019-03-28,21:30,211000
2019-03-21,21:30,221000
2019-03-14,21:30,229000
2019-03-07,22:30,223000
2019-02-28,22:30,225000
2019-02-21,22:30,216000
2019-02-14,22:30,239000
2019-02-07,22:30,234000
2019-01-31,22:30,253000
2019-01-24,22:30,199000
2019-01-17,22:30,213000
2019-01-10,22:30,216000
2019-01-03,22:30,231000
2018-12-27,22:30,216000
2018-12-20,22:30,214000
2018-12-13,22:30,206000
2018-12-06,22:30,231000
2018-11-29,22:30,234000
2018-11-21,22:30,224000
2018-11-15,22:30,216000
2018-11-08,22:30,214000
2018-11-01,21:30,214000
2018-10-25,21:30,215000
2018-10-18,21:30,210000
2018-10-11,21:30,214000
2018-10-04,21:30,207000
2018-09-27,21:30,214000
2018-09-20,21:30,201000
2018-09-13,21:30,204000
2018-09-06,21:30,203000
2018-08-30,21:30,213000
2018-08-23,21:30,210000
2018-08-16,21:30,212000
2018-08-09,21:30,213000
2018-08-02,21:30,218000
2018-07-26,21:30,217000
2018-07-19,21:30,207000
2018-07-12,21:30,214000
2018-07-05,21:30,231000
2018-06-28,21:30,227000
2018-06-21,21:30,218000
2018-06-14,21:30,218000
2018-06-07,21:30,222000
2018-05-31,21:30,221000
2018-05-24,21:30,234000
2018-05-17,21:30,222000
2018-05-10,21:30,211000
2018-05-03,21:30,211000
2018-04-26,21:30,209000
2018-04-19,21:30,232000
2018-04-12,21:30,233000
2018-04-05,21:30,242000
2018-03-29,21:30,215000
2018-03-22,21:30,229000
2018-03-15,21:30,226000
2018-03-08,22:30,231000
2018-03-01,22:30,210000
2018-02-22,22:30,222000
2018-02-15,22:30,230000
2018-02-08,22:30,221000
2018-02-01,22:30,230000
2018-01-25,22:30,233000
2018-01-18,22:30,220000
2018-01-11,22:30,261000
2018-01-04,22:30,250000
2017-12-28,22:30,245000
2017-12-21,22:30,245000
2017-12-14,22:30,225000
2017-12-07,22:30,236000
2017-11-30,22:30,238000
2017-11-22,22:30,239000
2017-11-16,22:30,249000
2017-11-09,22:30,239000
2017-11-02,21:30,229000
2017-10-26,21:30,233000
2017-10-19,21:30,222000
2017-10-12,21:30,243000
2017-10-05,21:30,260000
2017-09-28,21:30,272000
2017-09-21,21:30,259000
2017-09-14,21:30,284000
2017-09-07,21:30,298000
2017-08-31,21:30,236000
2017-08-24,21:30,234000
2017-08-17,21:30,232000
2017-08-10,21:30,244000
2017-08-03,21:30,240000
2017-07-27,21:30,244000
2017-07-20,21:30,233000
2017-07-13,21:30,247000
2017-07-06,21:30,248000
2017-06-29,21:30,244000
2017-06-22,21:30,241000
2017-06-15,21:30,237000
2017-06-08,21:30,245000
2017-06-01,21:30,248000
2017-05-25,21:30,234000
2017-05-18,21:30,232000
2017-05-11,21:30,236000
2017-05-04,21:30,238000
2017-04-27,21:30,257000
2017-04-20,21:30,244000
2017-04-13,21:30,234000
2017-04-06,21:30,234000
2017-03-30,21:30,258000
2017-03-23,21:30,258000
2017-03-16,21:30,241000
2017-03-09,22:30,243000
2017-03-02,22:30,223000
2017-02-23,22:30,244000
2017-02-16,22:30,239000
2017-02-09,22:30,234000
2017-02-02,22:30,246000
2017-01-26,22:30,259000
2017-01-19,22:30,234000
2017-01-12,22:30,247000
2017-01-05,22:30,235000
2016-12-29,22:30,265000
2016-12-22,22:30,275000
2016-12-15,22:30,254000
2016-12-08,22:30,258000
2016-12-01,22:30,268000
2016-11-23,22:30,251000
2016-11-17,22:30,235000
2016-11-10,22:30,254000
2016-11-03,21:30,265000
2016-10-27,21:30,258000
2016-10-20,21:30,260000
2016-10-13,21:30,246000
2016-10-06,21:30,249000
2016-09-29,21:30,254000
2016-09-22,21:30,252000
2016-09-15,21:30,260000
2016-09-08,21:30,259000
2016-09-01,21:30,263000
2016-08-25,21:30,261000
2016-08-18,21:30,262000
2016-08-11,21:30,266000
2016-08-04,21:30,269000
2016-07-28,21:30,266000
2016-07-21,21:30,253000
2016-07-14,21:30,254000
2016-07-07,21:30,254000
2016-06-30,21:30,268000
2016-06-23,21:30,259000
2016-06-16,21:30,277000
2016-06-09,21:30,264000
2016-06-02,21:30,267000
2016-05-26,21:30,268000
2016-05-19,21:30,278000
2016-05-12,21:30,294000
2016-05-05,21:30,274000
2016-04-28,21:30,257000
2016-04-21,21:30,247000
2016-04-14,21:30,253000
2016-04-07,21:30,267000
2016-03-31,21:30,276000
2016-03-24,21:30,265000
2016-03-17,21:30,265000
2016-03-10,22:30,259000
2016-03-03,22:30,278000
2016-02-25,22:30,272000
2016-02-18,22:30,262000
2016-02-11,22:30,269000
2016-02-04,22:30,285000
2016-01-28,22:30,278000
2016-01-21,22:30,293000
2016-01-14,22:30,284000
2016-01-07,22:30,277000
2015-12-31,22:30,287000
2015-12-24,22:30,267000
2015-12-17,22:30,271000
2015-12-10,22:30,282000
2015-12-03,22:30,269000
2015-11-25,22:30,260000
2015-11-19,22:30,271000
2015-11-12,22:30,276000
2015-11-05,22:30,276000
2015-10-29,21:30,260000
2015-10-22,21:30,259000
2015-10-15,21:30,255000
2015-10-08,21:30,263000
2015-10-01,21:30,277000
2015-09-24,21:30,267000
2015-09-17,21:30,264000
2015-09-10,21:30,275000
2015-09-03,21:30,282000
2015-08-27,21:30,271000
2015-08-20,21:30,277000
2015-08-13,21:30,274000
2015-08-06,21:30,270000
2015-07-30,21:30,267000
2015-07-23,21:30,255000
2015-07-16,21:30,281000
2015-07-09,21:30,297000
2015-07-02,21:30,281000
2015-06-25,21:30,271000
2015-06-18,21:30,267000
2015-06-11,21:30,279000
2015-06-04,21:30,276000
2015-05-28,21:30,282000
2015-05-21,21:30,274000
2015-05-14,21:30,264000
2015-05-07,21:30,265000
2015-04-30,21:30,262000
2015-04-23,21:30,295000
2015-04-16,21:30,294000
2015-04-09,21:30,281000
2015-04-02,21:30,268000
2015-03-26,21:30,282000
2015-03-19,21:30,291000
