place_id,name,lat,lng,rating,review_count,company
ChIJzYgLEXCNGGAR99VwT9IH_PM,chocoZAP Ikebukuronishiguchi,35.7328385,139.7082637,3.7,91,chocoZAP
ChIJG9xedcr3GGARO-685qs_sb4,パーソナルジムEASY FIT鷺沼,35.5780954,139.5729408,5.0,35,FIT-EASY
ChIJtaD-BKL0GGARn-MGo3i5-To,Anytime Fitness Sangenjaya,35.6428586,139.6712567,2.7,95,Anytime Fitness
ChIJP9bPyONZGGAROXcjtOL1Xjo,chocoZAP YokohamaNakayama,35.5144241,139.5421009,3.3,6,chocoZAP
ChIJwYkAR0yMGGARTtcRRDgkccc,Safikku Koishikawaten,35.7111672,139.7455673,4.5,34,FIT-EASY
ChIJ4dn2l7yLGGARKUbkG4ik6F4,Anytime Fitness Center Mita,35.6545766,139.7435389,3.7,90,Anytime Fitness
ChIJzYgLEXCNGGAR99VwT9IH_PM,chocoZAP Ikebukuronishiguchi,35.7328385,139.7082637,3.7,91,chocoZAP
ChIJybnnHFovH2ARw96uaibpI_s,Fit East Tatebayashi,36.2414994,139.5207753,4.2,38,FIT-EASY
ChIJebDPZEIzH2ARtTJ2Myb8uEY,Anytime Fitness,36.1638489,139.5451444,4.0,42,Anytime Fitness
ChIJb12XXU8zH2ARLaS4Pmw3fCI,chocoZAP,36.1711235,139.543185,3.8,13,chocoZAP
ChIJe9UDe_6vGWAREBqF66FyYcY,Fittoiji Shonanninomiyaten,35.3082989,139.2505931,4.5,122,FIT-EASY
ChIJZZFqzZatGWARKBGKqBxMtk0,Anytime Fitness,35.3285284,139.3437539,4.2,38,Anytime Fitness
ChIJ7ezSsiStGWARZFgAfUXr_Dg,chocoZAP Hiratsuka,35.3292772,139.3500235,3.9,20,chocoZAP
