公表日時,時間,結果,予想,前回,
2019年06月28日 (6月),23:00,98.2,98.0,97.9,
2019年06月14日 (6月),23:00  ,97.9,98.1,100.0,
2019年05月31日 (5月),23:00,100.0,102.0,102.4,
2019年05月17日 (5月),23:00  ,102.4,97.8,97.2,
2019年04月26日 (4月),23:00,97.2,97.1,96.9,
2019年04月12日 (4月),23:00  ,96.9,98.1,98.4,
2019年03月29日 (3月),23:00,98.4,97.8,97.8,
2019年03月15日 (3月),23:00  ,97.8,95.3,93.8,
2019年03月02日 (2月),00:00,93.8,95.8,95.5,
2019年02月16日 (2月),00:00  ,95.5,93.3,91.2,
2019年02月02日 (1月),00:00,91.2,90.8,90.7,
2019年01月19日 (1月),00:00  ,90.7,97.0,98.3,
2018年12月22日 (12月),00:00,98.3,97.6,97.5,
2018年12月08日 (12月),00:00  ,97.5,97.1,97.5,
2018年11月22日 (11月),00:00,97.5,98.4,98.3,
2018年11月10日 (11月),00:00  ,98.3,98.0,98.6,
2018年10月26日 (10月),23:00,98.6,99.0,99.0,
2018年10月12日 (10月),23:00  ,99.0,100.4,100.1,
2018年09月28日 (9月),23:00,100.1,100.5,100.8,
2018年09月14日 (9月),23:00  ,100.8,96.7,96.2,
2018年08月31日 (8月),23:00,96.2,95.5,95.3,
2018年08月17日 (8月),23:00  ,95.3,98.1,97.9,
2018年07月27日 (7月),23:00,97.9,97.1,97.1,
2018年07月13日 (7月),23:00  ,97.1,98.1,98.2,
2018年06月29日 (6月),23:00,98.2,99.2,99.3,
2018年06月15日 (6月),23:00  ,99.3,98.5,98.0,
2018年05月25日 (5月),23:00,98.0,98.8,98.8,
2018年05月11日 (5月),23:00  ,98.8,98.5,98.8,
2018年04月27日 (4月),23:00,98.8,98.0,97.8,
2018年04月13日 (4月),23:00  ,97.8,100.6,101.4,
2018年03月29日 (3月),23:00,101.4,101.9,102.0,
2018年03月16日 (3月),23:00  ,102.0,99.3,99.7,
2018年03月03日 (2月),00:00,99.7,99.5,95.7,
2018年02月17日 (2月),00:00  ,99.9,95.4,95.7,
2018年02月03日 (1月),00:00,95.7,95.0,94.4,
2018年01月20日 (1月),00:00  ,94.4,97.0,95.9,
2017年12月23日 (12月),00:00,95.9,97.1,96.8,
2017年12月09日 (12月),00:00  ,96.8,99.2,98.5,
2017年11月23日 (11月),00:00,98.5,98.0,97.8,
2017年11月11日 (11月),00:00  ,97.8,100.7,100.7,
2017年10月27日 (10月),23:00,100.7,100.9,101.1,
2017年10月13日 (10月),23:00  ,101.1,95.0,95.1,
2017年09月29日 (9月),23:00,95.1,95.3,95.3,
2017年09月15日 (9月),23:00  ,95.3,95.1,96.8,
2017年09月01日 (8月),23:00,96.8,97.4,97.6,
2017年08月18日 (8月),23:00  ,97.6,94.0,93.4,
2017年07月28日 (7月),23:00,93.4,93.1,93.1,
2017年07月14日 (7月),23:00  ,93.1,95.0,95.1,
2017年06月30日 (6月),23:00,95.1,94.5,94.5,
2017年06月16日 (6月),23:00  ,94.5,97.1,97.1,
2017年05月26日 (5月),23:00,97.1,97.5,97.7,
2017年05月12日 (5月),23:00  ,97.7,97.0,97.0,
2017年04月28日 (4月),23:00,97.0,98.0,98.0,
2017年04月13日 (4月),23:00  ,98.0,96.5,96.9,
