公表日時,時間,結果,予想,前回,
2015年08月28日 (7月),21:30,0.3%,0.4%,0.3%,
2015年08月03日 (6月),21:30,0.2%,0.2%,0.7%,
2015年06月25日 (5月),21:30,0.9%,0.7%,0.1%,
2015年06月01日 (4月),21:30,0.0%,0.2%,0.5%,
2015年04月30日 (3月),21:30,0.4%,0.5%,0.2%,
2015年03月30日 (2月),21:30,0.1%,0.2%,-0.2%,
2015年03月02日 (1月),22:30,-0.2%,-0.1%,-0.3%,
2015年02月02日 (12月),22:30,-0.3%,-0.2%,0.5%,
2014年12月24日 (11月),00:00,0.6%,0.5%,0.3%,
2014年11月26日 (10月),22:30,0.2%,0.4%,-0.2%,
2014年10月31日 (9月),21:30,-0.2%,0.1%,0.5%,
2014年09月29日 (8月),21:30,0.5%,0.4%,-0.1%,
2014年08月29日,21:30,-0.1%,0.2%,0.4%,
2014年08月01日,21:30,0.4%,0.4%,0.3%,
2014年06月26日,21:30,0.2%,0.4%,0.0%,
2014年05月30日,21:30,-0.1%,0.2%,1.0%,
2014年05月01日,21:30,0.9%,0.6%,0.5%,
2014年03月28日,21:30,0.3%,0.3%,0.2%,
2014年03月03日,22:30,0.4%,0.1%,0.1%,
2014年01月31日,22:30,0.4%,0.2%,0.6%,
2013年12月23日,22:30,0.5%,0.5%,0.4%,
2013年12月06日,22:30,0.3%,0.2%,0.2%,
2013年11月08日,22:30,0.2%,0.2%,0.3%,
2013年09月27日,21:30,0.3%,0.3%,0.2%,
2013年08月30日,21:30,0.1%,0.3%,0.6%,
2013年08月02日,21:30,0.5%,0.5%,0.2%,
2013年06月27日,21:30,0.3%,0.3%,-0.3%,
2013年05月31日,21:30,-0.2%,0.1%,0.1%,
2013年04月29日,21:30,0.2%,0.1%,0.7%,
2013年03月29日,21:30,0.7%,0.6%,0.4%,
2013年03月01日,22:30,0.2%,0.2%,0.1%,
2013年01月31日,22:30,0.2%,0.3%,0.4%,
2012年12月21日,22:30,0.4%,0.3%,-0.1%,
2012年11月30日,22:30,-0.2%,0.2%,0.8%,
2012年10月29日,21:30,0.8%,0.6%,0.5%,
2012年09月28日,21:30,0.5%,0.5%,0.4%,
2012年08月30日,21:30,0.4%,0.4%,0.0%,
2012年07月31日,21:30,0.0%,0.1%,-0.1%,
2012年06月29日,21:30,0.0%,0.1%,0.1%,
2012年06月01日,21:30,0.3%,0.3%,0.2%,
2012年04月30日,21:30,0.3%,0.4%,0.9%,
2012年03月30日,21:30,0.8%,0.6%,0.4%,
2012年03月01日,22:30,0.2%,0.4%,0.0%,
2012年01月30日,22:30,0.0%,0.2%,0.1%,
2011年12月23日,22:30,0.1%,0.3%,0.1%,
2011年11月23日,22:30,0.1%,0.3%,0.7%,
2011年10月28日,21:30,0.6%,0.6%,0.2%,
2011年09月30日,21:30,0.2%,0.2%,0.7%,
2011年08月29日,21:30,0.8%,0.5%,-0.1%,
2011年08月02日,21:30,-0.2%,0.2%,0.1%,
2011年06月27日,21:30,0.0%,0.1%,0.3%,
2011年05月27日,21:30,0.4%,0.5%,0.5%,
2011年04月29日,21:30,0.6%,0.5%,0.9%,
2011年03月28日,21:30,0.7%,0.5%,0.3%,
2011年02月28日,22:30,0.2%,0.4%,0.5%,
2011年01月31日,22:30,0.7%,0.6%,0.3%,
2010年12月23日,22:30,0.4%,0.5%,0.7%,
2010年11月24日,22:30,0.4%,0.5%,0.3%,
2010年11月01日,21:30,0.2%,0.4%,0.5%,
2010年10月01日,21:30,0.4%,0.3%,0.4%,
2010年08月30日,21:30,0.4%,0.3%,0.0%,
2010年08月03日,21:30,0.0%,0.0%,0.1%,
2010年06月28日,21:30,0.2%,0.1%,0.0%,
2010年05月28日,21:30,0.0%,0.3%,0.6%,
2010年05月03日,21:30,0.6%,0.7%,0.5%,
2010年03月29日,21:30,0.3%,0.4%,0.4%,
2010年03月01日,22:30,0.5%,0.4%,0.3%,
2010年02月01日,22:30,0.2%,0.3%,0.7%,
2009年12月23日,22:30,0.5%,0.7%,0.6%,
2009年11月25日,22:30,0.7%,0.6%,-0.6%,
2009年10月30日,21:30,-0.5%,-0.4%,1.4%,
2009年10月01日,21:30,1.3%,1.2%,0.3%,
2009年08月28日,21:30,0.2%,0.3%,0.6%,
2009年08月04日,21:30,0.4%,0.3%,0.1%,
2009年06月26日,21:30,0.3%,0.4%,-0.1%,
2009年06月01日,21:30,-0.1%,-0.2%,-0.3%,
2009年04月30日,21:30,-0.2%,-0.1%,0.4%,
2009年03月27日,21:30,0.2%,0.2%,0.6%,
2009年03月02日,22:30,0.6%,0.3%,-1.0%,
2009年02月02日,22:30,-1.0%,-0.9%,-0.6%,
2008年12月24日,22:30,-0.6%,-0.8%,-1.0%,
2008年11月26日,22:30,-1.0%,-1.0%,-0.3%,
2008年10月31日,21:30,-0.3%,-0.2%,0.0%,
2008年09月29日,21:30,0.0%,0.2%,0.2%,
2008年08月29日,21:30,0.2%,0.3%,0.6%,
2008年08月04日,21:30,0.6%,0.5%,0.8%,
2008年06月27日,21:30,0.8%,0.7%,0.2%,
2008年05月30日,22:30,0.2%,0.2%,0.4%,
2008年05月01日,21:30,0.4%,0.2%,0.1%,
2008年03月28日,21:30,0.1%,0.1%,0.4%,
2008年02月29日,22:30,0.4%,0.2%,0.2%,
2008年01月01日 (12月),18:00,0.20%, ,0.80%,
2007年12月01日 (11月),18:00,0.80%, ,0.20%,
2007年11月01日 (10月),18:00,0.20%, ,0.40%,
2007年10月01日 (9月),18:00,0.40%, ,0.40%,
2007年09月01日 (8月),18:00,0.40%, ,0.40%,
2007年08月01日 (7月),18:00,0.40%, ,0.10%,
2007年07月01日 (6月),18:00,0.10%, ,0.40%,
2007年06月01日 (5月),18:00,0.40%, ,0.40%,
2007年05月01日 (4月),18:00,0.40%, ,0.40%,
2007年04月01日 (3月),18:00,0.40%, ,0.40%,
2007年03月01日 (2月),18:00,0.40%, ,0.40%,
2007年02月01日 (1月),18:00,0.40%, ,0.90%,
2007年01月01日 (12月),18:00,0.90%, ,0.20%,
2006年12月01日 (11月),18:00,0.20%, ,0.20%,
2006年11月01日 (10月),18:00,0.20%, ,0.30%,
2006年10月01日 (9月),18:00,0.30%, ,0.10%,
2006年09月01日 (8月),18:00,0.10%, ,0.80%,
2006年08月01日 (7月),18:00,0.80%, ,0.30%,
2006年07月01日 (6月),18:00,0.30%, ,0.30%,
2006年06月01日 (5月),18:00,0.30%, ,0.60%,
2006年05月01日 (4月),18:00,0.60%, ,0.40%,
2006年04月01日 (3月),18:00,0.40%, ,0.40%,
2006年03月01日 (2月),18:00,0.40%, ,0.80%,
2006年02月01日 (1月),18:00,0.80%, ,0.40%,
2006年01月01日 (12月),18:00,0.40%, ,0.30%,
2005年12月01日 (11月),18:00,0.30%, ,0.40%,
2005年11月01日 (10月),18:00,0.40%, ,0.60%,
2005年10月01日 (9月),18:00,0.60%, ,0.10%,
2005年09月01日 (8月),18:00,0.10%, ,1.10%,
2005年08月01日 (7月),18:00,1.10%, ,1.10%,
2005年07月01日 (6月),18:00,1.10%, ,-0.40%,
2005年06月01日 (5月),18:00,-0.40%, ,1.10%,
2005年05月01日 (4月),18:00,1.10%, ,0.50%,
2005年04月01日 (3月),18:00,0.50%, ,0.60%,
