公表日時,時間,結果,予想,前回,
2015年08月19日 (7月),21:30,0.1%,0.2%,0.2%,
2015年07月17日 (6月),21:30,0.2%,0.2%,0.1%,
2015年06月18日 (5月),21:30,0.1%,0.2%,0.3%,
2015年05月22日 (4月),21:30,0.3%,0.2%,0.2%,
2015年04月17日 (3月),21:30,0.2%,0.2%,0.2%,
2015年03月24日 (2月),21:30,0.2%,0.1%,0.2%,
2015年02月26日 (1月),22:30,0.2%,0.1%,0.0%,
2015年01月16日 (12月),22:30,0.0%,0.1%,0.1%,
2014年12月17日 (11月),22:30,0.1%,0.1%,0.2%,
2014年11月20日 (10月),22:30,0.2%,0.2%,0.1%,
2014年10月22日 (9月),21:30,0.1%,0.2%,0.0%,
2014年09月17日 (8月),21:30,0.0%,0.2%,0.1%,
2014年08月19日,21:30,0.1%,0.2%,0.1%,
2014年07月22日,21:30,0.1%,0.2%,0.3%,
2014年06月17日,21:30,0.3%,0.2%,0.2%,
2014年05月15日,21:30,0.2%,0.1%,0.2%,
2014年04月15日,21:30,0.2%,0.1%,0.1%,
2014年03月18日,21:30,0.1%,0.1%,0.1%,
2014年02月20日,22:30,0.1%,0.1%,0.1%,
2014年01月16日,22:30,0.1%,0.1%,0.2%,
2013年12月17日,22:30,0.2%,0.1%,0.1%,
2013年11月20日,22:30,0.1%,0.1%,0.1%,
2013年10月30日,21:30,0.1%,0.2%,0.1%,
2013年09月17日,21:30,0.1%,0.1%,0.2%,
2013年08月15日,21:30,0.2%,0.2%,0.2%,
2013年07月16日,21:30,0.2%,0.2%,0.2%,
2013年06月18日,21:30,0.2%,0.2%,0.1%,
2013年05月16日,21:30,0.1%,0.2%,0.1%,
2013年04月16日,21:30,0.1%,0.2%,0.2%,
2013年03月15日,21:30,0.2%,0.2%,0.3%,
2013年02月21日,22:30,0.3%,0.2%,0.1%,
2013年01月16日,22:30,0.1%,0.2%,0.1%,
2012年12月14日,22:30,0.1%,0.2%,0.2%,
2012年11月15日,22:30,0.2%,0.1%,0.1%,
2012年10月16日,21:30,0.1%,0.2%,0.1%,
2012年09月14日,21:30,0.1%,0.2%,0.1%,
2012年08月15日,21:30,0.1%,0.2%,0.2%,
2012年07月17日,21:30,0.2%,0.2%,0.2%,
2012年06月14日,21:30,0.2%,0.2%,0.2%,
