公表日時,時間,結果,予想,前回,
2015年10月16日 (9月),22:15,-0.2%,-0.2%,-0.1%,
2015年09月15日 (8月),22:15,-0.4%,-0.2%,0.9%,
2015年08月14日 (7月),22:15,0.6%,0.3%,0.1%,
2015年07月15日 (6月),22:15,0.3%,0.2%,-0.2%,
2015年06月15日 (5月),22:15,-0.2%,0.3%,-0.5%,
2015年05月15日 (4月),22:15,-0.3%,0.1%,-0.3%,
2015年04月15日 (3月),22:15,-0.6%,-0.3%,0.1%,
2015年03月16日 (2月),22:15,0.1%,0.2%,-0.3%,
2015年02月18日 (1月),23:15,0.2%,0.3%,-0.3%,
2015年01月16日 (12月),23:15,-0.1%,0.1%,1.3%,
2014年12月15日 (11月),23:15,1.3%,0.7%,0.1%,
2014年11月17日 (10月),23:15,-0.1%,0.2%,0.8%,
2014年10月16日 (9月),22:15,1.0%,0.4%,-0.2%,
2014年09月15日 (8月),22:15,-0.1%,0.3%,0.2%,
2014年08月15日,22:15,0.4%,0.3%,0.4%,
2014年07月16日,22:15,0.2%,0.4%,0.5%,
2014年06月16日,22:15,0.6%,0.5%,-0.3%,
2014年05月15日,22:15,-0.6%,0.1%,0.9%,
2014年04月16日,22:15,0.7%,0.5%,1.2%,
2014年03月17日,22:15,0.6%,0.1%,-0.2%,
2014年02月14日,23:15,-0.3%,0.3%,0.3%,
2014年01月17日,23:15,0.3%,0.3%,1.0%,
2013年12月16日,23:15,1.1%,0.5%,0.1%,
2013年11月15日,23:15,-0.1%,0.2%,0.7%,
2013年10月28日,22:15,0.6%,0.4%,0.4%,
2013年09月16日,22:15,0.4%,0.4%,0.0%,
2013年08月15日,22:15,0.0%,0.3%,0.2%,
2013年07月16日,22:15,0.3%,0.2%,0.0%,
2013年06月14日,22:15,0.0%,0.2%,-0.4%,
2013年05月15日,22:15,-0.5%,-0.2%,0.3%,
2013年04月16日,22:15,0.4%,0.2%,1.1%,
2013年03月15日,22:15,0.7%,0.4%,-0.1%,
2013年02月15日,23:15,-0.1%,0.2%,0.4%,
2013年01月16日,23:15,0.3%,0.3%,1.0%,
2012年12月14日,23:15,1.1%,0.3%,-0.7%,
2012年11月16日,23:15,-0.4%,0.2%,0.2%,
2012年10月16日,22:15,0.4%,0.2%,-1.4%,
2012年09月14日,22:15,-1.2%,0.2%,0.5%,
2012年08月15日,22:15,0.6%,0.5%,0.1%,
2012年07月17日,22:15,0.4%,0.3%,-0.2%,
2012年06月15日,22:15,-0.1%,0.1%,1.0%,
2012年05月16日,22:15,1.1%,0.6%,-0.6%,
2012年04月17日,22:15,0.0%,0.3%,0.0%,
2012年03月16日,22:15,0.0%,0.4%,0.4%,
2012年02月15日,23:15,0.0%,0.7%,1.0%,
2012年01月18日,23:15,0.4%,0.5%,-0.3%,
2011年12月15日,23:15,-0.2%,0.3%,0.7%,
2011年11月16日,23:15,0.7%,0.4%,-0.1%,
2011年10月17日,22:15,0.2%,0.2%,0.0%,
2011年09月15日,22:15,0.2%,0.1%,0.9%,
2011年08月16日,22:15,0.9%,0.5%,0.4%,
2011年07月15日,22:15,0.2%,0.3%,-0.1%,
2011年06月15日,22:15,0.1%,0.2%,0.0%,
2011年05月17日,22:15,0.0%,0.5%,0.7%,
2011年04月15日,22:15,0.8%,0.6%,0.1%,
2011年03月17日,22:15,-0.1%,0.6%,0.3%,
2011年02月16日,23:15,-0.1%,0.6%,1.2%,
2011年01月14日,23:15,0.8%,0.4%,0.3%,
2010年12月15日,23:15,0.4%,0.3%,-0.2%,
2010年11月16日,23:15,0.0%,0.3%,-0.2%,
2010年10月18日,22:15,-0.2%,0.2%,0.2%,
2010年09月15日,22:15,0.2%,0.3%,0.6%,
2010年08月17日,22:15,1.0%,0.6%,-0.1%,
2010年07月15日,22:15,0.1%,0.0%,1.3%,
2010年06月16日,22:15,1.2%,0.9%,0.7%,
2010年05月14日,22:15,0.8%,0.6%,0.2%,
2010年04月15日,22:15,0.1%,0.7%,0.3%,
2010年03月15日,22:15,0.1%,0.0%,0.9%,
2010年02月17日,23:15,0.9%,0.7%,0.7%,
2010年01月15日,23:15,0.6%,0.6%,0.6%,
2009年12月15日,23:15,0.8%,0.5%,0.0%,
2009年11月17日,23:15,0.1%,0.4%,0.6%,
2009年10月16日,22:15,0.7%,0.1%,1.2%,
2009年09月16日,22:15,0.8%,0.7%,1.0%,
2009年08月14日,22:15,0.5%,0.1%,-0.4%,
2009年07月15日,22:15,-0.4%,-0.6%,-1.2%,
2009年06月16日,22:15,-1.1%,-0.8%,-0.7%,
2009年05月15日,22:15,-0.5%,-0.5%,-1.7%,
2009年04月15日,22:15,-1.5%,-0.8%,-1.5%,
2009年03月16日,22:15,-1.4%,-1.2%,-1.8%,
2009年02月18日,23:15,-1.8%,-1.3%,-2.0%,
2009年01月16日,23:15,-2.0%,-0.8%,-0.6%,
2008年12月15日,23:15,-0.6%,-0.7%,1.3%,
2008年11月17日,23:15,1.3%,0.1%,-2.8%,
2008年10月16日,22:15,-2.8%,-0.7%,-1.1%,
2008年09月15日,22:15,-1.1%,-0.3%,0.2%,
2008年08月15日,22:15,0.2%, ,0.5%,
2008年07月16日,22:15,0.5%,0.0%,-0.2%,
2008年06月17日,22:15,-0.2%,0.1%,-0.7%,
2008年05月15日,23:15,-0.7%,-0.3%,0.3%,
2008年04月16日,22:15,0.3%,-0.1%,-0.5%,
2008年03月17日,22:15,-0.5%,-0.1%,0.1%,
2008年02月01日 (1月),18:00,-0.20%, ,0.00%,
2008年01月01日 (12月),18:00,0.00%, ,0.60%,
2007年12月01日 (11月),18:00,0.60%, ,-0.50%,
2007年11月01日 (10月),18:00,-0.50%, ,0.40%,
2007年10月01日 (9月),18:00,0.40%, ,0.10%,
2007年09月01日 (8月),18:00,0.10%, ,0.00%,
2007年08月01日 (7月),18:00,0.00%, ,0.00%,
2007年07月01日 (6月),18:00,0.00%, ,0.00%,
2007年06月01日 (5月),18:00,0.00%, ,0.70%,
2007年05月01日 (4月),18:00,0.70%, ,0.10%,
2007年04月01日 (3月),18:00,0.10%, ,1.10%,
2007年03月01日 (2月),18:00,1.10%, ,-0.50%,
2007年02月01日 (1月),18:00,-0.50%, ,1.00%,
2007年01月01日 (12月),18:00,1.00%, ,-0.10%,
2006年12月01日 (11月),18:00,-0.10%, ,0.00%,
2006年11月01日 (10月),18:00,0.00%, ,-0.20%,
2006年10月01日 (9月),18:00,-0.20%, ,0.30%,
2006年09月01日 (8月),18:00,0.30%, ,0.00%,
2006年08月01日 (7月),18:00,0.00%, ,0.40%,
2006年07月01日 (6月),18:00,0.40%, ,-0.10%,
2006年06月01日 (5月),18:00,-0.10%, ,0.40%,
2006年05月01日 (4月),18:00,0.40%, ,0.30%,
2006年04月01日 (3月),18:00,0.30%, ,0.00%,
2006年03月01日 (2月),18:00,0.00%, ,0.10%,
2006年02月01日 (1月),18:00,0.10%, ,0.60%,
2006年01月01日 (12月),18:00,0.60%, ,1.00%,
2005年12月01日 (11月),18:00,1.00%, ,1.30%,
2005年11月01日 (10月),18:00,1.30%, ,-2.00%,
2005年10月01日 (9月),18:00,-2.00%, ,0.20%,
2005年09月01日 (8月),18:00,0.20%, ,-0.20%,
