公表日時,時間,結果,予想,前回,
2015年08月07日 (7月),21:30,5.3%,5.3%,5.3%,
2015年07月02日 (6月),21:30,5.3%,5.4%,5.5%,
2015年06月05日 (5月),21:30,5.5%,5.4%,5.4%,
2015年05月08日 (4月),21:30,5.4%,5.4%,5.5%,
2015年04月03日 (3月),21:30,5.5%,5.5%,5.5%,
2015年03月06日 (2月),22:30,5.5%,5.6%,5.7%,
2015年02月06日 (1月),22:30,5.7%,5.6%,5.6%,
2015年01月09日 (12月),22:30,5.6%,5.7%,5.8%,
2014年12月05日 (11月),22:30,5.8%,5.8%,5.8%,
2014年11月07日 (10月),22:30,5.8%,5.9%,5.9%,
2014年10月03日 (9月),21:30,5.9%,6.1%,6.1%,
2014年09月05日,21:30,6.1%,6.1%,6.2%,
2014年08月01日,21:30,6.2%,6.1%,6.1%,
2014年07月03日,21:30,6.1%,6.3%,6.3%,
2014年06月06日,21:30,6.3%,6.4%,6.3%,
2014年05月02日,21:30,6.3%,6.6%,6.7%,
2014年04月04日,21:30,6.7%,6.6%,6.7%,
2014年03月07日,22:30,6.7%,6.6%,6.6%,
2014年02月07日,22:30,6.6%,6.7%,6.7%,
2014年01月10日,22:30,6.7%,7.0%,7.0%,
2013年12月06日,22:30,7.0%,7.2%,7.3%,
2013年11月08日,22:30,7.3%,7.3%,7.2%,
2013年10月22日,21:30,7.2%,7.3%,7.3%,
2013年09月06日,21:30,7.3%,7.4%,7.4%,
2013年08月02日,21:30,7.4%,7.5%,7.6%,
2013年07月05日,21:30,7.6%,7.5%,7.6%,
2013年06月07日,21:30,7.6%,7.5%,7.5%,
2013年05月03日,21:30,7.5%,7.6%,7.6%,
2013年04月05日,21:30,7.6%,7.7%,7.7%,
2013年03月08日,22:30,7.7%,7.9%,7.9%,
2013年02月01日,22:30,7.9%,7.8%,7.8%,
2013年01月04日,22:30,7.8%,7.7%,7.8%,
2012年12月07日,22:30,7.7%,7.9%,7.9%,
2012年11月02日,21:30,7.9%,7.9%,7.8%,
2012年10月05日,21:30,7.8%,8.2%,8.1%,
2012年09月07日,21:30,8.1%,8.3%,8.3%,
2012年08月03日,21:30,8.3%,8.2%,8.2%,
2012年07月06日,21:30,8.2%,8.2%,8.2%,
2012年06月01日,21:30,8.2%,8.1%,8.1%,
2012年05月04日,21:30,8.1%,8.2%,8.2%,
2012年04月06日,21:30,8.2%,8.3%,8.3%,
2012年03月09日,22:30,8.3%,8.3%,8.3%,
2012年02月03日,22:30,8.3%,8.5%,8.5%,
2012年01月06日,22:30,8.5%,8.7%,8.7%,
2011年12月02日,22:30,8.6%,9.0%,9.0%,
2011年11月04日,21:30,9.0%,9.1%,9.1%,
2011年10月07日,21:30,9.1%,9.1%,9.1%,
2011年09月02日,21:30,9.1%,9.1%,9.1%,
2011年08月05日,21:30,9.1%,9.2%,9.2%,
2011年07月08日,21:30,9.2%,9.1%,9.1%,
2011年06月03日,21:30,9.1%,9.0%,9.0%,
2011年05月06日,21:30,9.0%,8.8%,8.8%,
2011年04月01日,21:30,8.8%,8.9%,8.9%,
2011年03月04日,22:30,8.9%,9.1%,9.0%,
2011年02月04日,22:30,9.0%,9.6%,9.4%,
2011年01月07日,22:30,9.4%,9.7%,9.8%,
2010年12月03日,22:30,9.8%,9.6%,9.6%,
2010年11月05日,21:30,9.6%,9.6%,9.6%,
2010年10月08日,21:30,9.6%,9.7%,9.6%,
2010年09月03日,21:30,9.6%,9.6%,9.5%,
2010年08月06日,21:30,9.5%,9.6%,9.5%,
2010年07月02日,21:30,9.5%,9.8%,9.7%,
2010年06月04日,21:30,9.7%,9.8%,9.9%,
2010年05月07日,21:30,9.9%,9.7%,9.7%,
2010年04月02日,21:30,9.7%,9.7%,9.7%,
2010年03月05日,22:30,9.7%,9.8%,9.7%,
2010年02月05日,22:30,9.7%,10.0%,10.0%,
2010年01月08日,22:30,10.0%,10.1%,10.0%,
2009年12月04日,22:30,10.0%,10.2%,10.2%,
2009年11月06日,22:30,10.2%,9.9%,9.8%,
2009年10月02日,21:30,9.8%,9.8%,9.7%,
2009年09月04日,21:30,9.7%,9.5%,9.4%,
2009年08月07日,21:30,9.4%,9.6%,9.5%,
2009年07月02日,21:30,9.5%,9.6%,9.4%,
2009年06月05日,21:30,9.4%,9.2%,8.9%,
2009年05月08日,21:30,8.9%,8.9%,8.5%,
2009年04月03日,21:30,8.5%,8.5%,8.1%,
2009年03月06日,22:30,8.1%,7.9%,7.6%,
2009年02月06日,22:30,7.6%,7.5%,7.2%,
2009年01月09日,22:30,7.2%,7.0%,6.7%,
2008年12月05日,22:30,6.7%,6.8%,6.5%,
2008年11月07日,22:30,6.5%,6.3%,6.1%,
2008年10月03日,21:30,6.1%,6.1%,6.1%,
2008年09月05日,21:30,6.1%,5.7%,5.7%,
2008年08月01日,21:30,5.7%,5.6%,5.5%,
2008年07月03日 (6月),21:30,5.5%, ,5.5%,
2008年06月01日 (5月),21:30,5.5%, ,5.0%,
2008年05月01日 (4月),21:30,5%, ,5.1%,
2008年04月01日 (3月),21:30,5.1%, ,4.9%,
2008年03月01日 (2月),21:30,4.9%, ,5%,
2008年02月01日 (1月),21:30,5%, ,5%,
2008年01月01日 (12月),21:30,5%, ,4.7%,
2007年12月01日 (11月),21:30,4.7%, ,4.7%,
2007年11月01日 (10月),21:30,4.7%, ,4.7%,
2007年10月01日 (9月),21:30,4.7%, ,4.6%,
2007年09月01日 (8月),21:30,4.6%, ,4.7%,
2007年08月01日 (7月),21:30,4.7%, ,4.6%,
2007年07月01日 (6月),21:30,4.6%, ,4.4%,
2007年06月01日 (5月),21:30,4.4%, ,4.5%,
2007年05月01日 (4月),21:30,4.5%, ,4.4%,
2007年04月01日 (3月),21:30,4.4%, ,4.5%,
2007年03月01日 (2月),21:30,4.5%, ,4.6%,
2007年02月01日 (1月),21:30,4.6%, ,4.4%,
2007年01月01日 (12月),21:30,4.4%, ,4.5%,
2006年12月01日 (11月),21:30,4.5%, ,4.4%,
2006年11月01日 (10月),21:30,4.4%, ,4.5%,
