Date,Time,Code,CompanyName,Title
2023-11-17,15:00,31840,ＩＣＤＡ・ＨＤ,取締役の逝去及び退任に関するお知らせ
2023-11-17,15:00,32450,ディア・ライフ,（訂正）「2023年９月期決算短信〔日本基準〕（連結）」の一部訂正について
2023-11-17,15:00,33210,ミタチ,業績予想の修正に関するお知らせ
2023-11-17,15:00,34660,Ｒ－ラサールロジ,国内資産の取得完了に関するお知らせ（NYプロパティ－ズ特定目的会社　第1回優先出資証券）
2023-11-17,15:00,36900,Ｇ－イルグルム,剰余金の配当に関するお知らせ
2023-11-17,15:00,38400,ＰＡＴＨ,連結子会社における固定資産（建物等）の取得に関するお知らせ
2023-11-17,15:00,39300,Ｇ－はてな,（訂正）「譲渡制限付株式報酬としての自己株式の処分に関するお知らせ」の一部訂正について
2023-11-17,15:00,43040,Ｅストアー,株式の立会外分売に関するお知らせ
2023-11-17,15:00,44750,Ｇ－ＨＥＮＮＧＥ,事業計画及び成長可能性に関する事項
2023-11-17,15:00,45030,アステラス薬,前立腺がん治療剤 XTANDI 米国で適応追加に関する承認を取得
2023-11-17,15:00,48840,Ｇ－クリングル,行使価額修正条項付新株予約権の大量行使に関するお知らせ
2023-11-17,15:00,60950,メドピア,経営体制に関するお知らせ
2023-11-17,15:00,60950,メドピア,定款の一部変更に関するお知らせ
2023-11-17,15:00,61960,ストライク,監査等委員会設置会社への移行に伴う定款一部変更に関するお知らせ
2023-11-17,15:00,70410,Ｇ－ＣＲＧＨＤ,定款の一部変更に関するお知らせ
2023-11-17,15:00,70470,Ｇ－ポート,2024年３月期第２四半期決算説明会 Ｑ＆Ａ
2023-11-17,15:00,71390,Ｐ－東京高圧,持分法適用関連会社の株式取得（連結子会社化）に関するお知らせ
2023-11-17,15:00,71830,あんしん保証,資金の借入に関するお知らせ
2023-11-17,15:00,72180,田中精密,従業員持株会向け譲渡制限付株式インセンティブ制度の導入に関するお知らせ
2023-11-17,15:00,73740,Ｇ－コンフィデンスＩ,事業計画及び成長可能性に関する事項
2023-11-17,15:00,75050,扶桑電通,役員人事に関するお知らせ
2023-11-17,15:00,78160,スノーピーク,主要株主の異動に関するお知らせ
2023-11-17,15:00,78190,粧美堂,役員人事の内定に関するお知らせ
2023-11-17,15:00,78190,粧美堂,剰余金の配当（期末配当）に関するお知らせ
2023-11-17,15:00,80320,紙パル商,子会社の異動（持分譲渡）に関するお知らせ
2023-11-17,15:00,80760,カノークス,親会社等の中間決算に関するお知らせ
2023-11-17,15:00,86300,ＳＯＭＰＯＨＤ,2024年3月期 第2四半期（中間期）決算短信〔日本基準〕（連結）
2023-11-17,15:00,86300,ＳＯＭＰＯＨＤ,2024年3月期 第2四半期（中間期）決算 参考資料
2023-11-17,15:00,86300,ＳＯＭＰＯＨＤ,自己株式の消却に関するお知らせ
2023-11-17,15:00,89790,Ｒ－スターツＰＲ,資金の借入及び金利スワップ契約締結に関するお知らせ
2023-11-17,15:00,93320,ＮＩＳＳＯＨＤ,子会社の現物配当による孫会社の異動（組織再編）及び特定子会社の異動に関するお知らせ
2023-11-17,15:00,94380,エムティーアイ,役員異動に関するお知らせ
2023-11-17,15:00,95520,Ｍ＆Ａ総研ＨＤ,資本金の額の減少（減資）に関するお知らせ
2023-11-17,15:00,98370,モリト,2023年11月期 期末配当予想の修正（増配）に関するお知らせ
2023-11-17,15:00,99360,王将フード,2024年3月期第２四半期　決算説明会資料
2023-11-17,15:00,99620,ミスミＧ,月別売上高実績（２０２３年１０月）
2023-11-17,14:00,46210,ロックペイント,株式併合並びに単元株式数の定めの廃止及び定款の一部変更の承認決議に関するお知らせ
2023-11-17,14:00,67520,パナソニックＨＤ,パナソニック ホールディングスとApollo がパナソニック オートモーティブシステムズの事業に関するパートナーシップについて基本合意
2023-11-17,14:00,99970,ベルーナ,2024年3月期　第2四半期　決算説明会資料
2023-11-17,13:30,60390,Ｇ－日本動物高度医療,2024年３月期 第２四半期決算説明資料
2023-11-17,13:00,34950,香陵住販,定款一部変更および役員の選任に関するお知らせ
2023-11-17,13:00,34950,香陵住販,会計監査人の異動に関するお知らせ
2023-11-17,13:00,34950,香陵住販,代表取締役の異動（内定）に関するお知らせ
2023-11-17,13:00,34950,香陵住販,取締役会の実効性に関する分析・評価結果概要ついて
2023-11-17,13:00,39980,Ｇ－すららネット,株式給付信託（J-ESOP-RS）の導入に伴う 第三者割当による自己株式の処分の払込完了に関するお知らせ
2023-11-17,13:00,93840,内外トランスライン,株式給付信託（J-ESOP）への追加拠出に伴う第三者割当による自己株式の処分完了に関するお知らせ
2023-11-17,12:30,92220,Ｐ－ｍａｎａｂｙ,（訂正）「2024年３月期 中間決算短信〔日本基準〕（非連結）」の一部訂正について
2023-11-17,12:30,93370,Ｇ－トリドリ,（訂正）「2023年12月期第３四半期決算説明動画と書き起こし公開のお知らせ」の一部訂正について
2023-11-17,12:00,45680,第一三共,当社ADC製品に関するSeagen社との特許係争（控訴）に関するお知らせ
2023-11-17,12:00,64300,ダイコク電,2024年３月期第２四半期決算説明資料
2023-11-17,12:00,78700,福島印,役員の異動に関するお知らせ
2023-11-17,11:50,55330,エリッツＨＤ,（訂正）「個別業績と前期実績値との差異に関するお知らせ」の一部訂正について
2023-11-17,11:40,13494,Ｅ－ＳＳＧＡ－ＳＩＮ,アジア国債・公債ＥＴＦ（正式名称：ＡＢＦ汎アジア債券インデックス・ファンド）に関する日々の開示事項
2023-11-17,11:35,13264,Ｅ－ワールド,SPDRゴールド・シェアに関する日々の開示事項
2023-11-17,11:30,15574,Ｅ－ＳＳＧＡＴＣ,SPDR S&P500 ETFに関する日々の開示事項
2023-11-17,11:30,20704,Ｎ－三菱ＵＦＪ証ＨＤ,上場ETN（発行者：三菱UFJ証券ホールディングス株式会社）に関する日々の開示事項
2023-11-17,11:15,15624,Ｅ－三井住友ＤＳＡＭ,上場ＥＴＦ（管理会社：三井住友DSアセットマネジメント）に関する日々の開示事項
2023-11-17,11:15,61610,エスティック,2024年3月期 第2四半期 決算説明会資料
2023-11-17,11:10,13294,Ｅ－ブラックロック,上場ETF（管理会社：ブラックロック・ジャパン）に関する日々の開示事項
2023-11-17,11:00,75240,マルシェ,2023年10月度の月次料飲売上状況について
2023-11-17,10:30,13970,ＳＭＤＡＭ　２２５,2023年10月期　決算短信（2023年4月9日～2023年10月8日）
2023-11-17,10:30,25570,ＳＭＤＡＭトピックス,2023年10月期　決算短信（2023年4月9日～2023年10月8日）
2023-11-17,10:30,29860,Ｇ－ＬＡＨＤ,子会社による販売用不動産の売却に関するお知らせ
2023-11-17,10:30,69230,スタンレー電,2024年3月期　中間決算説明会資料
2023-11-17,10:30,81820,いなげや,2024年３月期　第２四半期　決算説明会資料
2023-11-17,10:15,16714,Ｅ－シンプレクス,上場ＥＴＦ(管理会社：シンプレクス・アセット・マネジメント)に関する日々の開示事項
2023-11-17,10:00,16724,Ｅ－ＷｉｓｄｏｍＴｒ,上場ETF（管理会社：WisdomTree、外国投資法人：MSL）に関する日々の開示事項
2023-11-17,10:00,16724,Ｅ－ＷｉｓｄｏｍＴｒ,上場ETF（管理会社：WisdomTree、外国投資法人：CSL）に関する日々の開示事項
2023-11-17,10:00,33740,内外テック,2024年３月期 第２四半期 決算説明資料
2023-11-17,10:00,90990,Ｃ＆ＦロジＨＤ,自己株式立会外買付取引（ＴｏＳＴＮｅＴ－３）による自己株式の取得結果に関するお知らせ
2023-11-17,09:45,14990,ＭＸＳ高配当７０ＭＮ,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信 決算短信（2023年10月期）
2023-11-17,09:45,16600,ＭＸＳ高利Ｊリート,ＭＡＸＩＳ高利回りＪリート上場投信 決算短信（2023年10期）
2023-11-17,09:00,40640,カーバイド,（訂正）「特許侵害訴訟の勝訴判決のお知らせ」の一部訂正について
2023-11-17,09:00,78980,ウッドワン,海外連結子会社の事業再編内容の決定に関するお知らせ
