公表日時,時間,結果,予想,前回,
2014年09月30日 (9月),23:00,86.0,92.5,93.4,
2014年08月26日,23:00,92.4,89.0,90.3,
2014年07月29日,23:00,90.9,85.3,86.4,
2014年06月24日,23:00,85.2,83.5,82.2,
2014年05月27日,23:00,83.0,83.0,81.7,
2014年04月29日,23:00,82.3,83.0,83.9,
2014年03月25日,23:00,82.3,78.6,78.3,
2014年02月26日,00:00,78.1,80.0,79.4,
2014年01月29日,00:00,80.7,78.1,77.5,
2014年01月01日,00:00,78.1,76.0,72.0,
2013年11月27日,00:00,70.4,72.9,72.4,
2013年10月29日,23:00,71.2,75.0,80.2,
2013年09月24日,23:00,79.7,79.9,81.8,
2013年08月27日,23:00,81.5,79.0,81.0,
2013年07月30日,23:00,80.3,81.4,82.1,
2013年06月25日,23:00,81.4,75.4,74.3,
2013年05月28日,23:00,76.2,71.0,69.0,
2013年04月30日,23:00,68.1,60.8,61.9,
2013年03月26日,23:00,59.7,68.0,68.0,
2013年02月27日,00:00,69.6,61.0,58.4,
2013年01月30日,00:00,58.6,64.0,66.7,
2012年12月28日,00:00,65.1,70.0,71.5,
2012年11月28日,00:00,73.7,73.0,73.1,
2012年11月01日,23:00,72.2,72.5,68.4,
2012年09月25日,23:00,70.3,63.0,61.3,
2012年08月28日,23:00,60.6,66.0,65.4,
2012年07月31日,23:00,65.9,61.5,62.7,
2012年06月26日,23:00,62.0,63.5,64.4,
2012年05月29日,23:00,64.9,70.0,68.7,
2012年04月24日,23:00,69.2,69.7,69.5,
2012年03月27日,23:00,70.2,70.3,71.6,
2012年02月29日,00:00,70.8,63.0,61.5,
2012年02月01日,00:00,61.1,68.2,64.8,
2011年12月28日,00:00,64.5,58.2,55.2,
2011年11月30日,00:00,56.0,43.0,40.9,
2011年10月25日,23:00,39.8,46.0,46.4,
2011年09月27日,23:00,45.4,46.5,45.2,
2011年08月30日,23:00,44.5,52.2,59.2,
2011年07月26日,23:00,59.5,56.0,57.6,
2011年06月28日,22:45,58.5,60.3,61.7,
2011年05月31日,23:00,60.8,66.3,66.0,
2011年04月26日,23:00,65.4,64.4,63.8,
2011年03月29日,23:00,63.4,65.0,72.0,
2011年02月23日,00:00,70.4,65.1,64.8,
2011年01月26日,00:00,60.6,53.5,53.3,
2010年12月29日,00:00,52.5,56.1,54.3,
2010年12月01日,00:00,54.1,52.0,49.9,
2010年10月26日,23:00,50.2,49.0,48.6,
2010年09月28日,23:00,48.5,52.9,53.2,
2010年08月31日,23:00,53.5,50.0,51.0,
2010年07月27日,23:00,50.4,51.0,54.3,
2010年06月29日,23:00,52.9,62.0,62.7,
2010年05月25日,23:00,63.3,58.3,57.7,
2010年04月27日,23:00,57.9,53.7,52.3,
2010年03月30日,23:00,52.5,50.0,46.4,
2010年02月24日,00:00,46.0,55.0,56.5,
2010年01月27日,00:00,55.9,53.5,53.6,
2009年12月30日,00:00,52.9,53.0,50.6,
2009年11月25日,00:00,49.5,47.7,48.7,
2009年10月27日,23:00,47.7,53.4,53.4,
2009年09月29日,23:00,53.1,57.0,54.5,
2009年08月25日,23:00,54.1,48.1,47.4,
2009年07月28日,23:00,46.6,49.0,49.3,
2009年06月30日,23:00,49.3,55.8,54.8,
2009年05月26日,23:00,54.9,42.1,40.8,
2009年04月28日,23:00,39.2,29.6,26.9,
2009年03月31日,23:00,26.0,27.8,25.0,
2009年02月25日,00:00,25.0,35.5,37.7,
2009年01月28日,00:00,37.7,38.7,38.0,
2008年12月31日,00:00,38.0,45.5,44.9,
2008年11月26日,00:00,44.9,38.0,38.0,
2008年10月28日,23:00,38.0,52.2,59.8,
2008年09月30日,23:00,59.8,54.6,56.9,
2008年08月26日,23:00,56.9,53.0,51.9,
2008年07月29日,23:00,51.9,50.0,50.4,
2008年06月24日,23:00,50.4,56.4,57.2,
2008年05月28日,00:00,52.7,60.0,62.3,
2008年04月29日,23:00,62.3,61.5,64.5,
2008年03月25日,23:00,64.5,73.5,75.0,
2008年02月27日,00:00,75.0,82.0,87.9,
2008年01月01日 (12月),18:00,90.60, ,87.80,
2007年12月01日 (11月),18:00,87.80, ,95.20,
2007年11月01日 (10月),18:00,95.20, ,99.50,
2007年10月01日 (9月),18:00,99.50, ,105.60,
2007年09月01日 (8月),18:00,105.60, ,111.90,
2007年08月01日 (7月),18:00,111.90, ,105.30,
2007年07月01日 (6月),18:00,105.30, ,108.50,
2007年06月01日 (5月),18:00,108.50, ,106.30,
2007年05月01日 (4月),18:00,106.30, ,108.20,
2007年04月01日 (3月),18:00,108.20, ,111.20,
2007年03月01日 (2月),18:00,111.20, ,110.20,
2007年02月01日 (1月),18:00,110.20, ,110.00,
2007年01月01日 (12月),18:00,110.00, ,105.30,
2006年12月01日 (11月),18:00,105.30, ,105.10,
2006年11月01日 (10月),18:00,105.10, ,105.90,
2006年10月01日 (9月),18:00,105.90, ,100.20,
2006年09月01日 (8月),18:00,100.20, ,107.00,
2006年08月01日 (7月),18:00,107.00, ,105.40,
2006年07月01日 (6月),18:00,105.40, ,104.70,
2006年06月01日 (5月),18:00,104.70, ,109.80,
2006年05月01日 (4月),18:00,109.80, ,107.50,
2006年04月01日 (3月),18:00,107.50, ,102.70,
2006年03月01日 (2月),18:00,102.70, ,106.80,
2006年02月01日 (1月),18:00,106.80, ,103.80,
2006年01月01日 (12月),18:00,103.80, ,98.30,
2005年12月01日 (11月),18:00,98.30, ,85.20,
2005年11月01日 (10月),18:00,85.20, ,87.50,
2005年10月01日 (9月),18:00,87.50, ,105.50,
2005年09月01日 (8月),18:00,105.50, ,103.60,
2005年08月01日 (7月),18:00,103.60, ,106.20,
2005年07月01日 (6月),18:00,106.20, ,103.10,
2005年06月01日 (5月),18:00,103.10, ,97.50,
2005年05月01日 (4月),18:00,97.50, ,103.00,
2005年04月01日 (3月),18:00,103.00, ,104.40,
2005年03月01日 (2月),18:00,104.40, ,105.10,
2005年02月01日 (1月),18:00,105.10, ,102.70,
2005年01月01日 (12月),18:00,102.70, ,92.60,
2004年12月01日 (11月),18:00,92.60, ,92.90,
2004年11月01日 (10月),18:00,92.90, ,96.70,
2004年10月01日 (9月),18:00,96.70, ,98.70,
2004年09月01日 (8月),18:00,98.70, ,105.70,
2004年08月01日 (7月),18:00,105.70, ,102.80,
2004年07月01日 (6月),18:00,102.80, ,93.10,
2004年06月01日 (5月),18:00,93.10, ,93.00,
2004年05月01日 (4月),18:00,93.00, ,88.50,
2004年04月01日 (3月),18:00,88.50, ,88.50,
2004年03月01日 (2月),18:00,88.50, ,97.70,
2004年02月01日 (1月),18:00,97.70, ,94.80,
2004年01月01日 (12月),18:00,94.80, ,92.50,
2003年12月01日 (11月),18:00,92.50, ,81.70,
2003年11月01日 (10月),18:00,81.70, ,77.00,
2003年10月01日 (9月),18:00,77.00, ,81.70,
2003年09月01日 (8月),18:00,81.70, ,77.00,
2003年08月01日 (7月),18:00,77.00, ,83.50,
2003年07月01日 (6月),18:00,83.50, ,83.60,
2003年06月01日 (5月),18:00,83.60, ,81.00,
2003年05月01日 (4月),18:00,81.00, ,61.40,
2003年04月01日 (3月),18:00,61.40, ,64.80,
2003年03月01日 (2月),18:00,64.80, ,78.80,
2003年02月01日 (1月),18:00,78.80, ,80.70,
2003年01月01日 (12月),18:00,80.70, ,84.90,
2002年12月01日 (11月),18:00,84.90, ,79.60,
2002年11月01日 (10月),18:00,79.60, ,93.70,
2002年10月01日 (9月),18:00,93.70, ,94.50,
2002年09月01日 (8月),18:00,94.50, ,97.40,
2002年08月01日 (7月),18:00,97.40, ,106.30,
2002年07月01日 (6月),18:00,106.30, ,110.30,
2002年06月01日 (5月),18:00,110.30, ,108.50,
2002年05月01日 (4月),18:00,108.50, ,110.70,
2002年04月01日 (3月),18:00,110.70, ,95.00,
2002年03月01日 (2月),18:00,95.00, ,97.80,
2002年02月01日 (1月),18:00,97.80, ,94.60,
2002年01月01日 (12月),18:00,94.60, ,84.90,
2001年12月01日 (11月),18:00,84.90, ,85.30,
2001年11月01日 (10月),18:00,85.30, ,97.00,
2001年10月01日 (9月),18:00,97.00, ,114.00,
2001年09月01日 (8月),18:00,114.00, ,116.30,
2001年08月01日 (7月),18:00,116.30, ,118.90,
2001年07月01日 (6月),18:00,118.90, ,116.10,
2001年06月01日 (5月),18:00,116.10, ,109.90,
2001年05月01日 (4月),18:00,109.90, ,116.90,
2001年04月01日 (3月),18:00,116.90, ,109.20,
2001年03月01日 (2月),18:00,109.20, ,115.70,
2001年02月01日 (1月),18:00,115.70, ,128.60,
2001年01月01日 (12月),18:00,128.60, ,132.60,
2000年12月01日 (11月),18:00,132.60, ,135.80,
2000年11月01日 (10月),18:00,135.80, ,142.50,
2000年10月01日 (9月),18:00,142.50, ,140.80,
2000年09月01日 (8月),18:00,140.80, ,143.00,
2000年08月01日 (7月),18:00,143.00, ,139.20,
2000年07月01日 (6月),18:00,139.20, ,144.70,
2000年06月01日 (5月),18:00,144.70, ,137.70,
2000年05月01日 (4月),18:00,137.70, ,137.10,
2000年04月01日 (3月),18:00,137.10, ,140.80,
2000年03月01日 (2月),18:00,140.80, ,144.70,
2000年02月01日 (1月),18:00,144.70, ,141.70,
2000年01月01日 (12月),18:00,141.70, ,137.00,
1999年12月01日 (11月),18:00,137.00, ,130.50,
1999年11月01日 (10月),18:00,130.50, ,134.20,
1999年10月01日 (9月),18:00,134.20, ,136.00,
1999年09月01日 (8月),18:00,136.00, ,136.20,
1999年08月01日 (7月),18:00,136.20, ,139.00,
1999年07月01日 (6月),18:00,139.00, ,137.70,
1999年06月01日 (5月),18:00,137.70, ,135.50,
1999年05月01日 (4月),18:00,135.50, ,134.00,
1999年04月01日 (3月),18:00,134.00, ,133.10,
1999年03月01日 (2月),18:00,133.10, ,128.90,
1999年02月01日 (1月),18:00,128.90, ,126.70,
1999年01月01日 (12月),18:00,126.70, ,126.40,
1998年12月01日 (11月),18:00,126.40, ,119.30,
1998年11月01日 (10月),18:00,119.30, ,126.40,
1998年10月01日 (9月),18:00,126.40, ,133.10,
1998年09月01日 (8月),18:00,133.10, ,137.20,
1998年08月01日 (7月),18:00,137.20, ,138.20,
1998年07月01日 (6月),18:00,138.20, ,136.30,
1998年06月01日 (5月),18:00,136.30, ,137.20,
1998年05月01日 (4月),18:00,137.20, ,133.80,
1998年04月01日 (3月),18:00,133.80, ,137.40,
1998年03月01日 (2月),18:00,137.40, ,128.30,
1998年02月01日 (1月),18:00,128.30, ,136.20,
1998年01月01日 (12月),18:00,136.20, ,128.10,
1997年12月01日 (11月),18:00,128.10, ,123.40,
1997年11月01日 (10月),18:00,123.40, ,130.20,
1997年10月01日 (9月),18:00,130.20, ,127.60,
1997年09月01日 (8月),18:00,127.60, ,126.30,
1997年08月01日 (7月),18:00,126.30, ,129.90,
1997年07月01日 (6月),18:00,129.90, ,127.90,
1997年06月01日 (5月),18:00,127.90, ,118.50,
1997年05月01日 (4月),18:00,118.50, ,118.50,
1997年04月01日 (3月),18:00,118.50, ,118.90,
1997年03月01日 (2月),18:00,118.90, ,118.70,
1997年02月01日 (1月),18:00,118.70, ,114.20,
1997年01月01日 (12月),18:00,114.20, ,109.50,
1996年12月01日 (11月),18:00,109.50, ,107.30,
1996年11月01日 (10月),18:00,107.30, ,111.80,
1996年10月01日 (9月),18:00,111.80, ,112.00,
1996年09月01日 (8月),18:00,112.00, ,107.00,
1996年08月01日 (7月),18:00,107.00, ,100.10,
1996年07月01日 (6月),18:00,100.10, ,103.50,
1996年06月01日 (5月),18:00,103.50, ,104.80,
1996年05月01日 (4月),18:00,104.80, ,98.40,
1996年04月01日 (3月),18:00,98.40, ,98.00,
1996年03月01日 (2月),18:00,98.00, ,88.40,
1996年02月01日 (1月),18:00,88.40, ,99.20,
1996年01月01日 (12月),18:00,99.20, ,101.60,
1995年12月01日 (11月),18:00,101.60, ,96.30,
1995年11月01日 (10月),18:00,96.30, ,97.30,
1995年10月01日 (9月),18:00,97.30, ,102.40,
1995年09月01日 (8月),18:00,102.40, ,101.40,
1995年08月01日 (7月),18:00,101.40, ,94.60,
1995年07月01日 (6月),18:00,94.60, ,102.00,
1995年06月01日 (5月),18:00,102.00, ,104.60,
1995年05月01日 (4月),18:00,104.60, ,100.20,
1995年04月01日 (3月),18:00,100.20, ,99.40,
1995年03月01日 (2月),18:00,99.40, ,101.40,
1995年02月01日 (1月),18:00,101.40, ,103.40,
1995年01月01日 (12月),18:00,103.40, ,100.40,
1994年12月01日 (11月),18:00,100.40, ,89.10,
1994年11月01日 (10月),18:00,89.10, ,89.50,
1994年10月01日 (9月),18:00,89.50, ,90.40,
1994年09月01日 (8月),18:00,90.40, ,91.30,
1994年08月01日 (7月),18:00,91.30, ,92.50,
1994年07月01日 (6月),18:00,92.50, ,88.90,
1994年06月01日 (5月),18:00,88.90, ,92.10,
1994年05月01日 (4月),18:00,92.10, ,86.70,
