公表日時,時間,結果,予想,前回,
2013年09月06日,21:30,169K,180K,104K,
2013年08月02日,21:30,162K,184K,188K,
2013年07月05日,21:30,195K,165K,195K,
2013年06月07日,21:30,175K,170K,149K,
2013年05月03日,21:30,165K,145K,138K,
2013年04月05日,21:30,88K,200K,268K,
2013年03月08日,22:30,236K,160K,119K,
2013年02月01日,22:30,157K,160K,196K,
2013年01月04日,22:30,155K,150K,161K,
2012年12月07日,22:30,146K,93K,138K,
2012年11月02日,21:30,171K,125K,148K,
2012年10月05日,21:30,114K,113K,142K,
2012年09月07日,21:30,96K,125K,141K,
2012年08月03日,21:30,163K,100K,64K,
2012年07月06日,21:30,80K,90K,77K,
2012年06月01日,21:30,69K,150K,77K,
2012年05月04日,21:30,115K,170K,154K,
2012年04月06日,21:30,120K,203K,240K,
2012年03月09日,22:30,227K,210K,284K,
2012年02月03日,22:30,243K,150K,203K,
2012年01月06日,22:30,200K,150K,100K,
2011年12月02日,22:30,120K,120K,100K,
2011年11月04日,21:30,80K,95K,158K,
2011年10月07日,21:30,103K,53K,57K,
2011年09月02日,21:30,0K,74K,85K,
2011年08月05日,21:30,117K,95K,46K,
2011年07月08日,21:30,18K,89K,25K,
2011年06月03日,21:30,54K,169K,232K,
2011年05月06日,21:30,244K,185K,221K,
2011年04月01日,21:30,216K,188K,194K,
2011年03月04日,22:30,192K,180K,63K,
2011年02月04日,22:30,36K,150K,121K,
2011年01月07日,22:30,103K,150K,71K,
2010年12月03日,22:30,39K,140K,172K,
2010年11月05日,21:30,151K,60K,-41K,
2010年10月08日,21:30,-95K,3K,-57K,
2010年09月03日,21:30,-54K,-118K,-54K,
2010年08月06日,21:30,-131K,-65K,-221K,
2010年07月02日,21:30,-125K,-100K,433K,
2010年06月04日,21:30,431K,500K,290K,
2010年05月07日,21:30,290K,187K,230K,
2010年04月02日,21:30,162K,190K,-14K,
2010年03月05日,22:30,-36K,-55K,-26K,
2010年02月05日,22:30,-20K,15K,-150K,
2010年01月08日,22:30,-85K,0K,4K,
2009年12月04日,22:30,-11K,-114K,-111K,
2009年11月06日,22:30,-190K,-166K,-219K,
2009年10月02日,21:30,-263K,-190K,-201K,
2009年09月04日,21:30,-216K,-220K,-276K,
2009年08月07日,21:30,-247K,-330K,-443K,
2009年07月02日,21:30,-467K,-375K,-322K,
