公表日時,時間,結果
1988-09-02,21:30,124000
1988-10-07,21:30,339000
1988-11-04,21:30,268000
1988-12-02,21:30,339000
1989-01-06,21:30,290000
1989-02-03,21:30,262000
1989-03-03,21:30,258000
1989-04-07,21:30,193000
1989-05-05,21:30,173000
1989-06-02,21:30,118000
1989-07-07,21:30,116000
1989-08-04,21:30,40000
1989-09-01,21:30,49000
1989-10-06,21:30,250000
1989-11-03,21:30,111000
1989-12-01,21:30,277000
1990-01-05,21:30,96000
1990-02-02,21:30,335000
1990-03-02,21:30,248000
1990-04-06,21:30,215000
1990-05-04,21:30,40000
1990-06-01,21:30,152000
1990-07-06,21:30,23000
1990-08-03,21:30,-28000
1990-09-07,21:30,-221000
1990-10-05,21:30,-88000
1990-11-02,21:30,-159000
1990-12-07,21:30,-150000
1991-01-04,21:30,-56000
1991-02-01,21:30,-120000
1991-03-01,21:30,-305000
1991-04-05,21:30,-158000
1991-05-03,21:30,-211000
1991-06-07,21:30,-125000
1991-07-05,21:30,97000
1991-08-02,21:30,-36000
1991-09-06,21:30,6000
1991-10-04,21:30,32000
1991-11-01,21:30,16000
1991-12-06,21:30,-57000
1992-01-03,21:30,25000
1992-02-07,21:30,53000
1992-03-06,21:30,-63000
1992-04-03,21:30,54000
1992-05-01,21:30,159000
1992-06-05,21:30,127000
1992-07-03,21:30,67000
1992-08-07,21:30,68000
1992-09-04,21:30,141000
1992-10-02,21:30,36000
1992-11-06,21:30,180000
1992-12-04,21:30,138000
1993-01-01,21:30,211000
1993-02-05,21:30,310000
1993-03-05,21:30,242000
1993-04-02,21:30,-49000
1993-05-07,21:30,308000
1993-06-04,21:30,267000
1993-07-02,21:30,181000
1993-08-06,21:30,298000
1993-09-03,21:30,160000
1993-10-01,21:30,239000
1993-11-05,21:30,286000
1993-12-03,21:30,262000
1994-01-07,21:30,312000
1994-02-04,21:30,272000
1994-03-04,21:30,200000
1994-04-01,21:30,465000
1994-05-06,21:30,349000
1994-06-03,21:30,334000
1994-07-01,21:30,316000
1994-08-05,21:30,378000
1994-09-02,21:30,277000
1994-10-07,21:30,352000
1994-11-04,21:30,213000
1994-12-02,21:30,420000
1995-01-06,21:30,275000
1995-02-03,21:30,326000
1995-03-03,21:30,203000
1995-04-07,21:30,222000
1995-05-05,21:30,162000
1995-06-02,21:30,-16000
1995-07-07,21:30,235000
1995-08-04,21:30,102000
1995-09-01,21:30,248000
1995-10-06,21:30,242000
1995-11-03,21:30,154000
1995-12-01,21:30,149000
1996-01-05,21:30,133000
1996-02-02,21:30,-19000
1996-03-01,21:30,431000
1996-04-05,21:30,267000
1996-05-03,21:30,164000
1996-06-07,21:30,321000
1996-07-05,21:30,288000
1996-08-02,21:30,256000
1996-09-06,21:30,172000
1996-10-04,21:30,225000
1996-11-01,21:30,250000
1996-12-06,21:30,298000
1997-01-03,21:30,171000
1997-02-07,21:30,235000
1997-03-07,21:30,303000
1997-04-04,21:30,316000
1997-05-02,21:30,292000
1997-06-06,21:30,259000
1997-07-04,21:30,267000
1997-08-01,21:30,313000
1997-09-05,21:30,-39000
1997-10-03,21:30,512000
1997-11-07,21:30,341000
1997-12-05,21:30,306000
1998-01-02,21:30,303000
1998-02-06,21:30,276000
1998-03-06,21:30,196000
1998-04-03,21:30,151000
1998-05-01,21:30,279000
1998-06-05,21:30,406000
1998-07-03,21:30,218000
1998-08-07,21:30,124000
1998-09-04,21:30,347000
1998-10-02,21:30,223000
1998-11-06,21:30,198000
1998-12-04,21:30,282000
1999-01-01,21:30,347000
1999-02-05,21:30,125000
1999-03-05,21:30,411000
1999-04-02,21:30,107000
1999-05-07,21:30,376000
1999-06-04,21:30,211000
1999-07-02,21:30,261000
1999-08-06,21:30,319000
1999-09-03,21:30,166000
1999-10-01,21:30,214000
1999-11-05,21:30,400000
1999-12-03,21:30,292000
2000-01-07,21:30,295000
2000-02-04,21:30,231000
2000-03-03,21:30,130000
2000-04-07,21:30,467000
2000-05-05,21:30,287000
2000-06-02,21:30,226000
2000-07-07,21:30,-47000
2000-08-04,21:30,179000
2000-09-01,21:30,-15000
2000-10-06,21:30,135000
2000-11-03,21:30,-15000
2000-12-08,21:30,225000
2001-01-05,21:30,142000
2001-02-02,21:30,-27000
2001-03-09,21:30,71000
2001-04-06,21:30,-25000
2001-05-04,21:30,-282000
2001-06-01,21:30,-38000
2001-07-06,21:30,-131000
2001-08-03,21:30,-112000
2001-09-07,21:30,-160000
2001-10-05,21:30,-241000
2001-11-02,21:30,-325000
2001-12-07,21:30,-294000
2002-01-04,21:30,-171000
2002-02-01,21:30,-139000
2002-03-08,21:30,-134000
2002-04-05,21:30,-20000
2002-05-03,21:30,-80000
2002-06-07,21:30,-8000
2002-07-05,21:30,56000
2002-08-02,21:30,-84000
2002-09-06,21:30,-16000
2002-10-04,21:30,-60000
2002-11-01,21:30,125000
2002-12-06,21:30,10000
2003-01-10,21:30,-157000
2003-02-07,21:30,91000
2003-03-07,21:30,-151000
2003-04-04,21:30,-210000
