Date,Time,Result
1987-09-01,18:00,110.7
1987-10-01,18:00,115.7
1987-11-01,18:00,115.1
1987-12-01,18:00,100.8
1988-01-01,18:00,107.7
1988-02-01,18:00,109.9
1988-03-01,18:00,114.9
1988-04-01,18:00,112.7
1988-05-01,18:00,115.7
1988-06-01,18:00,120.2
1988-07-01,18:00,115.7
1988-08-01,18:00,113.5
1988-09-01,18:00,119.7
1988-10-01,18:00,110.7
1988-11-01,18:00,116.9
1988-12-01,18:00,112.9
1989-01-01,18:00,119.4
1989-02-01,18:00,115.8
1989-03-01,18:00,120.7
1989-04-01,18:00,117.4
1989-05-01,18:00,116.6
1989-06-01,18:00,116.7
1989-07-01,18:00,117.2
1989-08-01,18:00,120.4
1989-09-01,18:00,115.4
1989-10-01,18:00,116.3
1989-11-01,18:00,117.0
1989-12-01,18:00,115.1
1990-01-01,18:00,113.0
1990-02-01,18:00,106.5
1990-03-01,18:00,106.7
1990-04-01,18:00,110.6
1990-05-01,18:00,107.3
1990-06-01,18:00,107.3
1990-07-01,18:00,102.4
1990-08-01,18:00,101.7
1990-09-01,18:00,84.7
1990-10-01,18:00,85.6
1990-11-01,18:00,62.6
1990-12-01,18:00,61.7
1991-01-01,18:00,61.2
1991-02-01,18:00,55.1
1991-03-01,18:00,59.4
1991-04-01,18:00,81.1
1991-05-01,18:00,79.4
1991-06-01,18:00,76.4
1991-07-01,18:00,78.0
1991-08-01,18:00,77.7
1991-09-01,18:00,76.1
1991-10-01,18:00,72.9
1991-11-01,18:00,60.1
1991-12-01,18:00,52.7
1992-01-01,18:00,52.5
1992-02-01,18:00,50.2
1992-03-01,18:00,47.3
1992-04-01,18:00,56.5
1992-05-01,18:00,65.1
1992-06-01,18:00,71.9
1992-07-01,18:00,72.6
1992-08-01,18:00,61.2
1992-09-01,18:00,59.0
1992-10-01,18:00,57.3
1992-11-01,18:00,54.6
1992-12-01,18:00,65.6
1993-01-01,18:00,78.1
1993-02-01,18:00,76.7
1993-03-01,18:00,68.5
1993-04-01,18:00,63.2
1993-05-01,18:00,67.6
1993-06-01,18:00,61.9
1993-07-01,18:00,58.6
1993-08-01,18:00,59.2
1993-09-01,18:00,59.3
1993-10-01,18:00,63.8
1993-11-01,18:00,60.5
1993-12-01,18:00,71.9
1994-01-01,18:00,79.8
1994-02-01,18:00,82.6
1994-03-01,18:00,79.9
1994-04-01,18:00,86.7
1994-05-01,18:00,92.1
1994-06-01,18:00,88.9
1994-07-01,18:00,92.5
1994-08-01,18:00,91.3
1994-09-01,18:00,90.4
1994-10-01,18:00,89.5
1994-11-01,18:00,89.1
1994-12-01,18:00,100.4
1995-01-01,18:00,103.4
1995-02-01,18:00,101.4
1995-03-01,18:00,99.4
1995-04-01,18:00,100.2
1995-05-01,18:00,104.6
1995-06-01,18:00,102.0
1995-07-01,18:00,94.6
1995-08-01,18:00,101.4
1995-09-01,18:00,102.4
1995-10-01,18:00,97.3
1995-11-01,18:00,96.3
1995-12-01,18:00,101.6
1996-01-01,18:00,99.2
1996-02-01,18:00,88.4
1996-03-01,18:00,98.0
1996-04-01,18:00,98.4
1996-05-01,18:00,104.8
1996-06-01,18:00,103.5
1996-07-01,18:00,100.1
1996-08-01,18:00,107.0
1996-09-01,18:00,112.0
1996-10-01,18:00,111.8
1996-11-01,18:00,107.3
1996-12-01,18:00,109.5
1997-01-01,18:00,114.2
1997-02-01,18:00,118.7
1997-03-01,18:00,118.9
1997-04-01,18:00,118.5
1997-05-01,18:00,118.5
1997-06-01,18:00,127.9
1997-07-01,18:00,129.9
1997-08-01,18:00,126.3
1997-09-01,18:00,127.6
1997-10-01,18:00,130.2
1997-11-01,18:00,123.4
1997-12-01,18:00,128.1
1998-01-01,18:00,136.2
1998-02-01,18:00,128.3
1998-03-01,18:00,137.4
1998-04-01,18:00,133.8
1998-05-01,18:00,137.2
1998-06-01,18:00,136.3
1998-07-01,18:00,138.2
1998-08-01,18:00,137.2
1998-09-01,18:00,133.1
1998-10-01,18:00,126.4
1998-11-01,18:00,119.3
1998-12-01,18:00,126.4
1999-01-01,18:00,126.7
1999-02-01,18:00,128.9
1999-03-01,18:00,133.1
1999-04-01,18:00,134.0
1999-05-01,18:00,135.5
1999-06-01,18:00,137.7
1999-07-01,18:00,139.0
1999-08-01,18:00,136.2
1999-09-01,18:00,136.0
1999-10-01,18:00,134.2
1999-11-01,18:00,130.5
1999-12-01,18:00,137.0
2000-01-01,18:00,141.7
2000-02-01,18:00,144.7
2000-03-01,18:00,140.8
2000-04-01,18:00,137.1
2000-05-01,18:00,137.7
2000-06-01,18:00,144.7
2000-07-01,18:00,139.2
2000-08-01,18:00,143.0
2000-09-01,18:00,140.8
2000-10-01,18:00,142.5
2000-11-01,18:00,135.8
2000-12-01,18:00,132.6
